scenario,scenario_label,roof_scenario,roof_label,depot_id,depot_name,grid_cap_kw,pv_cap_max_kwp,installed_pv_kwp,installed_bess_energy_kwh,installed_bess_power_kw,grid_energy_kwh,peak_grid_kw,bus_charge_kwh,unserved_kwh,pv_generation_kwh,pv_used_kwh,pv_curtailment_pct,bess_charge_kwh,bess_discharge_kwh,energy_cost_cop,co2_kg,objective_cop,termination_condition,solver,solver_manager,capacity_mode
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ006,Perdomo I,487.5,111087.04939402036,0.0,8.975276662232845e-14,0.0,3354.000000000001,223.60000000000068,3354.000000000001,0.0,9.447659644455625e-14,9.447659644455625e-14,0.0,1.8895319288911253e-13,1.7053025658242404e-13,723129.7502527124,593.6580000000001,946729.7502527124,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ039,El Refugio,4095.0,124334.2906303316,0.0,-0.0,-0.0,27735.0,1733.4375,27735.0,0.0,0.0,0.0,0.0,0.0,0.0,5948263.552318767,4909.094999999999,7681701.052318767,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ040,Aeropuerto,4290.0,119487.44511316717,0.0,7.180221329786276e-13,0.0,28955.999999999993,1930.400000000003,28955.999999999996,0.0,7.5581277155645e-13,7.5581277155645e-13,0.0,1.5116255431129002e-12,1.3642420526593924e-12,6242977.05674345,5125.211999999999,8173377.05674345,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ041,Usme,4485.0,16029.339424553058,9083.451210471072,-2.3471780075112747e-12,-0.0,-5.544803505230788e-12,-0.0,33615.25,0.0,33615.25000000001,33615.25000000001,0.0,0.0,-5.823880266930815e-12,-1.1066753459863302e-09,-9.814302204258495e-13,7545486.046615968,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ047,Venecia,5752.5,74334.87602402769,0.0,-2.3372249554834946e-12,0.0,34988.5,2332.5666666666702,34988.50000000001,0.0,0.0,0.0,0.0,-6.098215602337497e-12,-4.014101643671589e-12,7543597.276898338,6192.964500000001,9876163.943565005,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ048,Venecia,7117.5,75029.31442354406,0.0,-5.374150162343838e-13,0.0,41629.0,2775.2666666666705,41629.0,0.0,-5.65700017088825e-13,-5.65700017088825e-13,0.0,-1.13140003417765e-12,-1.0210885308453294e-12,8975303.629478283,7368.333,11750570.29614495,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ049,Escritorio IV,13600.0,75817.4076745315,0.0,-0.0,0.0,38066.50000000001,2537.7666666666732,38066.50000000001,0.0,0.0,0.0,0.0,-1.4691235038116726e-13,-1.0706450540946358e-13,8207220.822300202,6737.7705000000005,10744987.48896687,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ050,Usme II,7702.5,19412.891423495883,0.0,-5.12570806169658e-13,0.0,46654.5,3110.300000000004,46654.5,0.0,-5.395482170206927e-13,-5.395482170206927e-13,0.0,-1.449042918793621e-12,-1.307761234211243e-12,10058812.442804163,8257.846499999998,13169112.442804163,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R4,"Depot plus nearby roofs, medium",PZ052,Perdomo,7605.0,88506.69713794823,0.0,-0.0,0.0,40793.00000000001,2719.533333333338,40793.00000000001,0.0,0.0,0.0,0.0,5.239862254292944e-13,6.8963992104578e-14,8795060.197393827,7220.361000000001,11514593.530727161,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ001,Las Mercedes,3120.0,132473.31964420393,0.0,3.304958645936783e-14,0.0,23478.0,1565.2000000000057,23478.0,0.0,3.4789038378281926e-14,3.4789038378281926e-14,0.0,9.917563846185773e-13,-1.8930634837488454e-12,5061908.251768986,4155.606,6627108.251768986,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ006,Perdomo I,487.5,541085.818270127,0.0,8.975276662232845e-14,0.0,3354.000000000001,223.60000000000068,3354.000000000001,0.0,9.447659644455625e-14,9.447659644455625e-14,0.0,1.8895319288911253e-13,1.7053025658242404e-13,723129.7502527124,593.6580000000001,946729.7502527124,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ039,El Refugio,4095.0,601641.0469773205,0.0,-0.0,0.0,27735.0,1733.4375000000002,27735.0,0.0,-2.0368659487702668e-13,-2.0368659487702668e-13,0.0,0.0,0.0,5948263.552318767,4909.094999999999,7681701.052318767,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ040,Aeropuerto,4290.0,686081.6706431215,0.0,7.180221329786276e-13,0.0,28955.999999999993,1930.400000000003,28955.999999999996,0.0,7.5581277155645e-13,7.5581277155645e-13,0.0,1.5116255431129002e-12,1.3642420526593924e-12,6242977.05674345,5125.211999999999,8173377.05674345,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ041,Usme,4485.0,32364.24182957695,9083.45121047107,-0.0,-0.0,0.0,-0.0,33615.25,0.0,33615.25,33615.25,0.0,0.0,0.0,0.0,0.0,7545486.046615968,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ047,Venecia,5752.5,331848.57081349957,0.0,-2.3372249554834946e-12,0.0,34988.5,2332.566666666667,34988.5,0.0,0.0,0.0,0.0,-6.098215602337497e-12,-4.014101643671589e-12,7543597.276898338,6192.9645,9876163.943565005,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ048,Venecia,7117.5,340962.32266664394,0.0,-5.374150162343838e-13,0.0,41629.0,2775.2666666666705,41629.0,0.0,-5.65700017088825e-13,-5.65700017088825e-13,0.0,-1.13140003417765e-12,-1.0210885308453294e-12,8975303.629478283,7368.333,11750570.29614495,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ049,Escritorio IV,13600.0,332936.84770568216,0.0,-4.786814219857517e-13,0.0,38066.50000000001,2537.7666666666737,38066.50000000001,0.0,-5.038751810376334e-13,-5.038751810376334e-13,0.0,-1.1546627124564339e-12,-1.0420830979919315e-12,8207220.822300202,6737.7705000000005,10744987.48896687,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ050,Usme II,7702.5,43143.00300092166,0.0,-1.0845951054426314e-12,0.0,46654.49999999999,3110.3000000000047,46654.5,0.0,-1.1416790583606645e-12,-1.1416790583606645e-12,0.0,-2.1985572505871006e-12,-1.9841979186548583e-12,10058812.442804163,8257.846499999998,13169112.442804163,optimal,appsi_highs,local,optimized
S5,Depot and nearby rooftops,R5,Maximum technical roof sensitivity,PZ052,Perdomo,7605.0,395390.468579418,0.0,-0.0,0.0,40793.00000000001,2719.533333333338,40793.00000000001,0.0,0.0,0.0,0.0,5.239862254292944e-13,6.8963992104578e-14,8795060.197393827,7220.361000000001,11514593.530727161,optimal,appsi_highs,local,optimized
S6,PV+BESS under tight grid connection,R1,"Internal depot roofs, conservative",PZ001,Las Mercedes,1404.0,10.090496039105595,10.090496039105595,9.885860489951089,5.214044098007183,23442.68716860802,1404.0,23478.0,0.0,37.342034334651714,37.342034334651714,0.0,20.812337873581242,18.783134930907067,5414652.776363146,4149.355628843619,6830678.114667978,optimal,appsi_highs,local,optimized
S6,PV+BESS under tight grid connection,R1,"Internal depot roofs, conservative",PZ006,Perdomo I,219.375,53.06603379939529,13.999410709803547,13.686612313875395,7.203480165197576,3305.031960330395,219.375,3354.0,0.0,51.80780740256969,51.777396934031906,0.058698621042736716,28.813920660790306,26.004563396363253,712326.9588872673,584.9906569784799,948373.0998182731,optimal,appsi_highs,local,optimized
S6,PV+BESS under tight grid connection,R1,"Internal depot roofs, conservative",PZ039,El Refugio,1842.75,110.5606705870194,0.0,3.8294513758860134e-12,0.0,27734.999999999993,1733.437500000001,27735.0,0.0,0.0,0.0,0.0,4.031001448301067e-12,7.275957614183425e-12,5948263.552318767,4909.094999999999,7681701.052318767,optimal,appsi_highs,local,optimized
