depot_id,buffer_m,building_count,building_roof_area_m2,internal_carport_area_m2,pv_cap_conservative_kwp,pv_cap_medium_kwp,pv_cap_high_kwp,pv_cap_carport_kwp,roof_method,overlap_warning
PZ049,0,0,0.0,8030.481221660726,0.0,0.0,0.0,1124.2673710325016,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ049,500,2259,223105.88734733296,0.0,11155.294367366649,17848.470987786637,24541.64760820663,24541.64760820663,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ049,1000,4234,947717.5959316436,0.0,47385.87979658219,75817.4076745315,104248.9355524808,104248.9355524808,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ049,2000,13898,3026698.615506201,0.0,151334.93077531006,242135.8892404961,332936.84770568216,332936.84770568216,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ050,0,14,5303.981963532366,13002.597412185034,265.1990981766183,424.3185570825893,583.4380159885603,2403.8016536944647,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ050,500,2476,138315.2502544563,0.0,6915.762512722816,11065.220020356506,15214.677527990196,15214.677527990196,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ050,1000,3821,242661.14279369853,0.0,12133.057139684926,19412.891423495883,26692.725707306843,26692.725707306843,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ050,2000,6473,392209.1181901968,0.0,19610.45590950984,31376.729455215747,43143.00300092166,43143.00300092166,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ052,0,9,2303.426791595937,11100.134628418038,115.17133957979686,184.274143327675,253.37694707555312,1807.3957950540782,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ052,500,8067,324767.89502388355,0.0,16238.394751194179,25981.43160191069,35724.468452627196,35724.468452627196,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ052,1000,28116,1106333.7142243527,0.0,55316.68571121764,88506.69713794823,121696.70856467882,121696.70856467882,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
PZ052,2000,90186,3594458.8052674355,0.0,179722.9402633718,287556.7044213949,395390.46857941797,395390.46857941797,ideca_building_footprints_intersected_with_depot_buffers,nearby_buffers_are_not_deduplicated_across_depots
